Days until EDay,Democratic-IPEV,Republican-IPEV,Other-IPEV
10,2902.0,3058.0,771.0
9,4012.0,4526.0,1127.0
8,6241.0,8221.0,1949.0
7,8392.0,12117.0,2822.0
6,10409.0,15473.0,3679.0
5,,,
4,,,
3,,,
