Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"Representative in Congress, District 6",Write-in,NON,425,-,-,-,5,0.42
"Representative in Congress, District 6",Write-in,NON,430,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,NON,435,-,-,-,3,0.07
"Representative in Congress, District 6",Write-in,NON,440,-,-,-,1,0.03
"Representative in Congress, District 6",Write-in,NON,445,-,-,-,2,0.05
"Representative in Congress, District 6",Write-in,NON,450,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,NON,455,-,-,-,5,0.15
"Representative in Congress, District 6",Write-in,NON,465,-,-,-,2,0.13
"Representative in Congress, District 6",Write-in,NON,470,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,NON,475,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,NON,480,-,-,-,1,0.13
"Representative in Congress, District 6",Write-in,NON,485,-,-,-,6,0.12
"Representative in Congress, District 6",Write-in,NON,490,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,NON,500,-,-,-,3,0.09
"Representative in Congress, District 6",Write-in,NON,505,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,NON,510,-,-,-,1,0.08
"Representative in Congress, District 6",Write-in,NON,515,-,-,-,4,0.18
"Representative in Congress, District 6",Write-in,NON,520,-,-,-,1,0.04
"Representative in Congress, District 6",Write-in,NON,525,-,-,-,2,0.10
